start_x,start_y,end_x,end_y
165,0,286,-24
180,0,195,0
255,0,253,-1
345,0,342,0
360,0,357,0
405,0,405,3
435,0,434,-4
465,0,467,3
90,15,90,18
120,15,119,10
165,15,293,0
180,15,296,1
195,15,248,24
285,15,282,16
300,15,294,15
345,15,343,14
360,15,357,15
465,15,470,16
45,30,46,35
135,30,135,36
150,30,146,37
165,30,198,20
180,30,361,17
195,30,307,12
210,30,205,30
225,30,222,30
240,30,239,26
255,30,247,27
270,30,269,27
285,30,278,30
300,30,289,27
315,30,311,27
330,30,324,29
345,30,338,30
375,30,380,27
405,30,408,28
450,30,453,30
465,30,476,33
15,45,13,43
105,45,99,43
120,45,115,42
135,45,123,47
150,45,145,45
165,45,157,39
180,45,183,24
195,45,204,42
210,45,200,42
225,45,219,45
240,45,237,45
255,45,252,43
270,45,266,40
285,45,279,45
300,45,291,42
315,45,305,44
330,45,307,48
345,45,348,42
360,45,367,44
375,45,387,41
390,45,391,43
405,45,405,42
420,45,422,44
435,45,436,46
450,45,454,45
465,45,467,43
105,60,102,60
135,60,130,57
150,60,145,62
165,60,157,65
180,60,168,61
195,60,187,59
210,60,205,56
225,60,214,58
240,60,234,60
255,60,250,62
270,60,266,60
300,60,294,58
315,60,306,62
330,60,333,59
345,60,352,62
360,60,363,59
375,60,381,53
405,60,408,59
420,60,424,59
435,60,441,59
450,60,463,54
465,60,462,57
0,75,2,72
30,75,28,79
45,75,35,76
60,75,51,75
75,75,71,73
90,75,85,75
105,75,97,74
120,75,109,77
135,75,121,74
150,75,141,75
165,75,152,76
180,75,176,71
195,75,184,76
210,75,206,72
225,75,216,75
240,75,237,75
255,75,237,78
270,75,264,73
285,75,292,74
300,75,320,87
315,75,328,80
330,75,335,80
345,75,354,78
360,75,366,74
375,75,378,73
420,75,422,74
435,75,444,79
450,75,456,69
465,75,461,71
0,90,-1,85
45,90,43,88
75,90,66,88
90,90,77,90
105,90,92,88
120,90,107,90
135,90,118,95
150,90,131,91
165,90,147,91
180,90,159,85
195,90,175,90
210,90,197,94
225,90,209,93
240,90,231,89
255,90,236,92
270,90,257,94
285,90,303,95
300,90,315,97
315,90,338,90
330,90,351,92
345,90,365,92
360,90,377,87
375,90,376,89
405,90,405,87
420,90,421,83
435,90,441,88
450,90,459,83
465,90,465,87
0,105,-5,105
15,105,14,103
30,105,26,103
45,105,38,104
60,105,50,105
75,105,58,97
90,105,78,101
105,105,96,102
120,105,107,103
135,105,117,104
150,105,130,103
165,105,148,102
180,105,162,109
195,105,165,118
210,105,209,113
225,105,227,106
240,105,241,109
255,105,262,110
270,105,276,117
285,105,305,111
300,105,318,116
315,105,340,107
330,105,348,108
345,105,360,106
360,105,370,105
375,105,380,99
435,105,434,102
450,105,451,103
465,105,471,103
0,120,-10,117
45,120,44,117
60,120,56,113
75,120,68,121
90,120,81,118
105,120,96,119
120,120,105,120
135,120,123,119
150,120,133,121
165,120,148,125
180,120,162,124
195,120,191,119
210,120,209,126
225,120,236,126
240,120,252,127
255,120,269,125
270,120,293,128
285,120,308,134
300,120,327,130
315,120,355,123
330,120,355,122
345,120,364,123
360,120,370,120
375,120,378,117
405,120,407,117
435,120,443,117
450,120,457,116
465,120,475,115
0,135,-4,131
15,135,12,135
30,135,26,135
45,135,40,133
60,135,50,134
75,135,58,133
90,135,78,137
105,135,92,133
120,135,100,133
135,135,120,133
150,135,136,138
165,135,144,138
180,135,155,140
195,135,191,134
210,135,230,142
225,135,243,142
240,135,260,140
255,135,266,141
270,135,288,146
285,135,302,142
300,135,320,141
315,135,340,136
330,135,350,141
345,135,356,143
360,135,369,136
375,135,373,138
420,135,428,132
435,135,450,131
450,135,471,137
465,135,475,140
0,150,-7,151
15,150,7,150
30,150,18,152
45,150,35,153
60,150,39,147
75,150,51,147
90,150,73,151
105,150,89,150
120,150,96,144
135,150,120,151
150,150,133,150
165,150,157,149
180,150,152,158
195,150,206,156
210,150,230,157
225,150,242,164
240,150,269,159
255,150,267,166
270,150,287,187
285,150,307,155
300,150,308,157
315,150,341,159
330,150,358,161
345,150,354,156
360,150,367,151
405,150,408,149
420,150,431,148
435,150,449,154
450,150,468,150
465,150,482,147
0,165,-9,163
15,165,9,160
30,165,15,181
45,165,21,167
60,165,35,165
75,165,52,161
90,165,57,163
105,165,90,179
120,165,106,151
135,165,133,152
150,165,141,157
165,165,185,168
180,165,196,180
195,165,207,177
210,165,240,181
225,165,273,179
240,165,285,174
255,165,279,183
270,165,288,177
285,165,308,175
300,165,315,167
315,165,346,175
330,165,349,172
345,165,359,173
360,165,367,166
390,165,396,165
405,165,407,162
420,165,431,166
435,165,438,167
450,165,459,173
465,165,468,166
0,180,-16,172
15,180,-3,179
30,180,11,188
45,180,18,181
60,180,33,173
75,180,31,197
90,180,51,191
105,180,54,200
120,180,122,158
135,180,138,178
150,180,160,188
165,180,170,193
180,180,197,197
195,180,208,191
210,180,229,205
225,180,251,194
240,180,269,193
255,180,296,218
270,180,326,207
285,180,307,193
300,180,314,186
315,180,330,196
330,180,345,180
345,180,365,181
360,180,367,182
375,180,377,178
390,180,398,186
405,180,412,182
420,180,432,185
