start_x,start_y,end_x,end_y
60,0,59,-4
105,0,105,2
240,0,243,0
255,0,257,0
255,15,257,14
30,30,29,26
345,45,345,42
45,60,45,57
60,60,59,57
270,60,270,57
405,60,427,60
420,60,409,58
435,60,441,58
270,75,270,72
285,75,283,72
300,75,299,72
315,75,314,72
435,75,431,77
0,90,2,88
30,90,32,87
45,90,45,86
90,90,90,88
105,90,100,90
180,90,180,87
195,90,197,90
285,90,286,87
345,90,345,87
405,90,405,87
420,90,419,87
465,90,464,87
45,105,44,102
75,105,76,103
165,105,165,102
180,105,178,101
195,105,198,101
210,105,215,103
225,105,237,105
240,105,242,103
255,105,259,104
270,105,274,103
285,105,290,102
300,105,301,102
345,105,345,102
360,105,360,99
390,105,390,98
405,105,407,102
450,105,451,101
465,105,461,103
0,120,-3,124
15,120,14,117
30,120,30,117
75,120,75,117
90,120,89,117
105,120,104,117
150,120,144,116
165,120,161,115
180,120,174,119
195,120,184,117
210,120,210,113
225,120,224,116
240,120,242,113
255,120,264,117
285,120,289,118
300,120,303,112
315,120,323,118
330,120,340,117
345,120,359,119
360,120,367,114
375,120,376,117
390,120,393,117
405,120,414,115
420,120,434,115
435,120,440,116
450,120,461,115
465,120,468,114
0,135,0,132
15,135,15,132
30,135,31,132
90,135,90,132
105,135,105,132
150,135,141,131
165,135,160,135
180,135,173,124
195,135,191,131
210,135,203,133
225,135,217,135
240,135,235,132
255,135,253,130
270,135,273,131
285,135,288,131
300,135,319,137
315,135,323,126
330,135,351,131
345,135,359,134
360,135,375,131
375,135,377,132
390,135,406,131
405,135,420,128
420,135,437,120
435,135,455,126
450,135,468,128
465,135,482,127
0,150,-3,144
15,150,19,144
30,150,31,141
45,150,51,142
60,150,58,145
75,150,75,141
90,150,89,143
105,150,105,146
135,150,135,147
150,150,146,145
165,150,156,146
180,150,176,137
195,150,188,143
210,150,196,144
225,150,211,149
240,150,235,144
255,150,240,143
270,150,261,143
285,150,293,154
300,150,323,158
315,150,315,142
330,150,346,148
345,150,354,146
360,150,387,147
375,150,381,141
390,150,401,142
405,150,418,145
420,150,437,137
435,150,462,142
450,150,473,144
465,150,478,137
0,165,2,155
15,165,14,154
30,165,30,155
45,165,45,156
60,165,62,154
75,165,74,155
90,165,85,159
105,165,105,161
120,165,120,161
135,165,132,156
150,165,146,162
165,165,160,161
180,165,179,153
195,165,188,159
210,165,199,159
225,165,205,152
240,165,231,152
255,165,238,167
270,165,249,159
285,165,278,161
300,165,294,166
315,165,336,174
330,165,333,157
345,165,345,157
360,165,366,161
375,165,375,167
390,165,405,159
405,165,414,163
420,165,431,164
435,165,485,159
450,165,487,156
465,165,475,152
0,180,0,170
15,180,15,170
30,180,29,170
45,180,44,167
60,180,52,167
75,180,61,174
90,180,72,178
105,180,107,167
120,180,120,170
150,180,143,175
165,180,156,176
180,180,163,173
195,180,181,175
210,180,195,177
225,180,206,176
240,180,225,176
255,180,242,179
270,180,259,177
285,180,275,177
300,180,289,179
315,180,308,181
330,180,322,169
345,180,342,172
360,180,337,183
375,180,373,175
390,180,404,174
405,180,416,171
420,180,425,172
435,180,488,170
450,180,475,182
465,180,484,170
0,195,-3,186
15,195,7,185
30,195,13,187
45,195,30,186
60,195,43,180
75,195,53,185
90,195,63,189
105,195,99,188
120,195,121,186
135,195,114,190
150,195,137,189
165,195,150,191
180,195,162,191
195,195,176,182
210,195,192,180
225,195,210,186
240,195,221,189
255,195,239,191
270,195,256,191
285,195,277,193
300,195,283,193
315,195,313,190
330,195,315,191
345,195,325,199
360,195,345,189
375,195,373,188
390,195,377,187
405,195,404,188
420,195,418,192
435,195,436,198
450,195,451,198
465,195,469,192
0,210,-2,204
15,210,-8,199
30,210,0,207
45,210,18,203
60,210,38,202
75,210,53,206
90,210,69,199
105,210,99,199
120,210,92,202
135,210,132,189
150,210,140,199
165,210,150,209
180,210,164,207
195,210,168,203
210,210,187,206
225,210,208,205
240,210,226,204
255,210,245,206
270,210,258,205
285,210,274,203
300,210,287,204
315,210,305,198
330,210,317,210
345,210,330,197
360,210,343,204
375,210,374,203
390,210,388,202
405,210,395,206
420,210,420,227
435,210,433,222
