start_x,start_y,end_x,end_y
120,0,124,-3
135,0,132,0
240,0,242,0
255,0,253,1
270,0,270,2
285,0,287,0
360,0,358,-3
90,15,90,12
105,15,106,12
120,15,121,12
270,15,270,17
315,15,315,10
330,15,331,13
420,15,420,12
90,30,90,27
120,30,119,18
135,30,136,26
150,30,154,25
270,30,267,30
315,30,315,27
330,30,331,27
345,30,344,26
375,30,381,28
390,30,395,29
405,30,407,23
420,30,421,26
435,30,432,28
90,45,91,42
105,45,105,40
120,45,122,39
135,45,133,39
150,45,149,41
195,45,197,43
285,45,285,42
300,45,296,37
315,45,316,40
330,45,331,36
360,45,367,43
375,45,379,40
390,45,392,41
405,45,408,37
15,60,21,62
30,60,34,64
60,60,59,56
75,60,74,57
90,60,91,55
105,60,106,52
120,60,121,53
135,60,136,51
150,60,150,58
180,60,180,57
195,60,194,57
210,60,211,55
225,60,224,55
240,60,239,55
285,60,282,55
300,60,299,52
315,60,318,54
330,60,326,50
345,60,345,49
360,60,362,49
375,60,375,48
390,60,393,53
405,60,414,51
420,60,407,52
435,60,428,50
450,60,450,57
465,60,466,51
60,75,54,69
75,75,74,68
90,75,95,70
105,75,109,68
120,75,122,66
135,75,134,66
150,75,154,69
165,75,165,71
180,75,181,68
195,75,196,71
210,75,209,68
225,75,225,63
240,75,242,65
255,75,257,65
270,75,270,64
285,75,280,63
300,75,302,66
315,75,319,61
330,75,332,61
345,75,349,63
360,75,362,58
375,75,376,63
390,75,389,64
405,75,406,62
420,75,422,63
435,75,435,65
450,75,452,61
465,75,466,61
0,90,7,85
15,90,17,85
30,90,28,84
45,90,49,84
60,90,59,82
75,90,75,87
90,90,88,83
105,90,106,83
120,90,125,83
135,90,137,83
150,90,152,81
165,90,168,83
180,90,185,81
195,90,205,79
210,90,213,81
225,90,226,80
240,90,241,79
255,90,257,80
270,90,273,79
285,90,283,74
300,90,302,75
315,90,315,76
330,90,331,74
345,90,345,71
360,90,363,73
375,90,377,77
390,90,392,74
405,90,409,75
420,90,425,75
435,90,437,76
450,90,453,74
465,90,470,76
0,105,7,99
15,105,19,99
30,105,31,100
45,105,51,98
60,105,66,99
75,105,81,101
90,105,93,99
105,105,105,98
120,105,125,99
135,105,138,95
150,105,151,96
165,105,170,99
180,105,183,91
195,105,203,96
210,105,221,93
225,105,237,95
240,105,257,92
255,105,267,97
270,105,284,97
285,105,294,93
300,105,308,91
315,105,319,92
330,105,335,90
345,105,347,90
360,105,365,91
375,105,378,88
390,105,392,91
405,105,414,91
420,105,425,90
435,105,437,90
450,105,452,91
465,105,469,93
0,120,7,112
15,120,21,117
30,120,34,117
45,120,48,114
60,120,65,112
75,120,80,114
90,120,94,114
105,120,110,112
120,120,122,113
135,120,138,114
150,120,147,110
165,120,170,112
180,120,179,114
195,120,193,110
210,120,210,107
225,120,229,107
240,120,257,110
255,120,268,111
270,120,282,112
285,120,300,107
300,120,309,105
315,120,325,111
330,120,335,113
345,120,357,111
360,120,369,104
375,120,379,101
390,120,399,99
405,120,418,101
420,120,430,99
435,120,444,103
450,120,463,104
465,120,475,100
0,135,10,129
15,135,24,130
30,135,40,130
45,135,55,131
60,135,65,129
75,135,80,129
90,135,95,129
105,135,113,127
120,135,125,129
135,135,132,127
150,135,148,125
165,135,168,124
180,135,182,126
195,135,189,124
210,135,209,125
225,135,222,125
240,135,237,121
255,135,239,125
270,135,291,127
285,135,301,125
300,135,324,122
315,135,338,122
330,135,346,114
345,135,370,118
360,135,379,116
375,135,385,114
390,135,413,119
405,135,421,115
420,135,452,113
